time_s,LOX_VENTURI_1_PT,LOX_VENTURI_2_PT,IPA_VENTURI_1_PT,IPA_VENTURI_2_PT,lox_mass_flow_rate_kg_s,ipa_mass_flow_rate_kg_s
1777067585.391099,,-175.6,,-176.5,,
1777067586.391588,-374.9,-175.6,175.5,-176.5,1.793312,
1777067587.395119,-374.9,-175.1,175.5,-176.0,1.795560,
1777067588.396066,-374.9,-174.7,175.5,-176.1,1.797356,
1777067589.400915,-375.0,-174.7,175.7,-176.1,1.797805,
1777067590.400421,-375.0,-174.7,176.5,-176.1,1.797805,
1777067591.400979,-375.0,-176.1,176.5,-176.0,1.791511,
1777067592.402335,-374.9,-176.1,175.7,-176.0,1.791061,
1777067593.400728,-374.9,-175.3,175.5,-176.0,1.794661,
1777067594.401247,-374.9,-175.7,175.5,-175.8,1.792862,
1777067595.402717,-374.9,-175.6,175.5,-175.8,1.793312,
1777067596.404041,-375.0,-175.6,176.5,-175.8,1.793762,
1777067597.407606,-375.0,-175.0,176.5,-175.5,1.796458,
1777067598.410326,-375.0,-176.1,176.5,-176.2,1.791511,
1777067599.414584,-375.0,-176.0,176.5,-175.7,1.791962,
1777067600.415282,-375.0,-175.2,176.5,-176.3,1.795560,
1777067601.414891,-375.0,-175.8,176.5,-176.0,1.792862,
1777067602.415118,-375.0,-176.4,176.5,-175.7,1.790160,
1777067603.416722,-375.0,-175.2,176.5,-176.0,1.795560,
1777067604.417043,-375.0,-174.9,176.5,-176.0,1.796908,
1777067605.418596,-375.0,-175.5,176.5,-176.5,1.794212,
1777067606.418882,-375.0,-175.3,176.5,-175.6,1.795111,
1777067607.419369,-375.0,-175.3,175.5,-175.6,1.795111,
1777067608.419004,-375.0,-175.1,175.5,-175.6,1.796009,
1777067609.419426,-375.0,-175.7,175.5,-175.9,1.793312,
1777067610.420241,-375.0,-176.2,175.5,-176.1,1.791061,
1777067611.420447,-375.0,-175.5,175.5,-176.0,1.794212,
1777067612.420098,-375.0,-175.3,175.5,-176.1,1.795111,
1777067613.420742,-375.0,-176.1,175.5,-176.4,1.791511,
1777067614.422181,-375.0,-175.7,175.5,-176.6,1.793312,
1777067615.422815,-375.0,-176.1,175.5,-176.6,1.791511,
1777067616.426333,-375.0,-175.6,175.5,-176.0,1.793762,
1777067617.425753,-375.0,-176.0,175.5,-175.9,1.791962,
1777067618.426453,-375.0,-175.5,175.5,-176.1,1.794212,
1777067619.426958,-375.0,-175.4,175.5,-176.1,1.794661,
1777067620.426504,-375.0,-175.1,175.5,-175.8,1.796009,
1777067621.427003,-375.0,-176.1,175.5,-176.0,1.791511,
1777067622.427215,-375.0,-175.0,175.5,-175.5,1.796458,
1777067623.427730,-375.0,-175.0,176.4,-175.5,1.796458,
1777067624.427719,-375.0,-175.5,176.4,-175.9,1.794212,
1777067625.427985,-375.0,-175.5,176.4,-175.4,1.794212,
1777067626.428446,-375.0,-175.7,176.4,-175.5,1.793312,
1777067627.428705,-375.0,-176.1,176.4,-176.5,1.791511,
1777067628.428436,-375.0,-176.1,175.1,-176.5,1.791511,
1777067629.428873,-375.0,-175.1,175.1,-176.0,1.796009,
1777067630.429183,-375.0,-176.1,175.1,-176.1,1.791511,
1777067631.429626,-375.0,-175.1,175.1,-175.6,1.796009,
1777067632.431272,-375.0,-175.6,175.1,-176.7,1.793762,
1777067633.432016,-375.0,-175.2,175.1,-175.7,1.795560,
1777067634.432295,-375.0,-175.5,175.1,-176.1,1.794212,
1777067635.432628,-375.0,-175.5,175.6,-176.1,1.794212,
1777067636.432636,-375.0,-176.1,175.6,-175.6,1.791511,
1777067637.432886,-375.0,-175.2,175.6,-175.8,1.795560,
1777067638.434386,-375.0,-175.2,176.1,-175.8,1.795560,
1777067639.432937,-375.0,-175.7,176.1,-176.5,1.793312,
1777067640.433672,-375.0,-175.3,176.1,-175.6,1.795111,
1777067641.435104,-375.0,-176.2,176.1,-176.0,1.791061,
1777067642.435730,-375.0,-176.1,176.1,-176.4,1.791511,
1777067643.438244,-375.0,-175.2,176.1,-176.1,1.795560,
1777067644.438616,-375.0,-174.9,176.1,-175.7,1.796908,
1777067645.438944,-375.0,-175.2,176.1,-175.9,1.795560,
1777067646.439482,-375.0,-175.3,176.1,-176.1,1.795111,
1777067647.440113,-375.0,-175.6,176.1,-176.2,1.793762,
1777067648.439609,-375.0,-175.1,176.1,-176.1,1.796009,
1777067649.439977,-375.0,-175.7,176.1,-176.2,1.793312,
1777067650.439463,-375.0,-175.8,176.1,-175.6,1.792862,
1777067651.441158,-375.0,-175.8,176.1,-175.5,1.792862,
1777067652.440604,-375.0,-175.6,176.1,-175.3,1.793762,
