time_s,pt NITROGEN_TANK_PT value,valve_0
1777067585.391064,0.0,
1777067586.390742,0.0,
1777067587.395100,0.0,
1777067588.396038,0.0,open
1777067589.398938,0.0,closed
1777067590.399371,0.0,closed
1777067591.400950,0.0,closed
1777067592.400312,0.0,closed
1777067593.400713,0.0,closed
1777067594.401212,0.0,closed
1777067595.402701,0.0,closed
1777067596.403078,0.0,closed
1777067597.406774,0.0,closed
1777067598.410289,0.0,closed
1777067599.413611,0.0,closed
1777067600.415260,0.0,closed
1777067601.414848,0.0,closed
1777067602.414207,0.0,closed
1777067603.416681,0.0,closed
1777067604.417014,0.0,closed
1777067605.418562,0.0,closed
1777067606.417970,0.0,closed
1777067607.418465,0.0,closed
1777067608.418969,0.0,closed
1777067609.419404,0.0,closed
1777067610.420201,0.0,closed
1777067611.419420,0.0,closed
1777067612.420059,0.0,closed
1777067613.420704,0.0,closed
1777067614.422145,0.0,closed
1777067615.422773,0.0,closed
1777067616.425441,0.0,closed
1777067617.425737,0.0,closed
1777067618.426422,0.0,closed
1777067619.426919,0.0,closed
1777067620.426476,0.0,closed
1777067621.426991,0.0,closed
1777067622.426244,0.0,closed
1777067623.426821,0.0,closed
1777067624.427673,0.0,closed
1777067625.427955,0.0,closed
1777067626.428425,0.0,closed
1777067627.427840,0.0,closed
1777067628.428380,0.0,closed
1777067629.428830,0.0,closed
1777067630.429168,0.0,closed
1777067631.428758,0.0,closed
1777067632.431225,0.0,closed
1777067633.431977,0.0,closed
1777067634.432272,0.0,closed
1777067635.431685,0.0,closed
1777067636.432576,0.0,closed
1777067637.432859,0.0,closed
1777067638.432603,0.0,closed
1777067639.432900,0.0,closed
1777067640.433631,0.0,closed
1777067641.434954,0.0,closed
1777067642.435691,0.0,closed
1777067643.438194,0.0,closed
1777067644.438587,0.0,closed
1777067645.438921,0.0,closed
1777067646.439451,0.0,closed
1777067647.440073,0.0,closed
1777067648.439570,0.0,closed
1777067649.439180,0.0,closed
1777067650.439450,0.0,closed
1777067651.441140,0.0,closed
1777067652.440573,0.0,closed
