time_s,NITROGEN_TANK_PT,IPA_TANK_PT,LOX_TANK_PT,LOX_LINE_PT,IPA_LINE_PT,LOX_VENTURI_1_PT,LOX_VENTURI_2_PT,IPA_VENTURI_1_PT,IPA_VENTURI_2_PT,CHAMBER_PT,IGNITER_PT,PFM_PT,POM_PT
1777067585.391064,0.0,,,,,,,,,,,,
1777067585.391080,0.0,,-375.0,,,,,,,,,,
1777067585.391090,0.0,,-375.0,,-374.9,,,,,,,,
1777067585.391099,0.0,,-375.0,,-374.9,,-175.6,,,,,,
1777067585.391107,0.0,,-375.0,,-374.9,,-175.6,,-176.5,,,,
1777067585.391115,0.0,,-375.0,,-374.9,,-175.6,,-176.5,,-176.4,,
1777067585.391123,0.0,,-375.0,,-374.9,,-175.6,,-176.5,,-176.4,,-175.5
1777067586.390742,0.0,,-375.0,,-374.9,,-175.6,,-176.5,,-176.4,,-175.5
1777067586.390751,0.0,,-375.0,,-374.9,,-175.6,,-176.5,,-176.4,,-175.5
1777067586.390754,0.0,,-375.0,,-375.0,,-175.6,,-176.5,,-176.4,,-175.5
1777067586.391588,0.0,,-375.0,,-375.0,-374.9,-175.6,,-176.5,,-176.4,,-175.5
1777067586.391592,0.0,,-375.0,,-375.0,-374.9,-175.6,175.5,-176.5,,-176.4,,-175.5
1777067586.391595,0.0,,-375.0,,-375.0,-374.9,-175.6,175.5,-176.5,174.9,-176.4,,-175.5
1777067586.391600,0.0,,-375.0,,-375.0,-374.9,-175.6,175.5,-176.5,174.9,-176.4,175.6,-175.5
1777067587.395100,0.0,,-375.0,,-375.0,-374.9,-175.6,175.5,-176.5,174.9,-176.4,175.6,-175.5
1777067587.395108,0.0,,-375.0,,-375.0,-374.9,-175.6,175.5,-176.5,174.9,-176.4,175.6,-175.5
1777067587.395113,0.0,,-375.0,,-375.0,-374.9,-175.6,175.5,-176.5,174.9,-176.4,175.6,-175.5
1777067587.395119,0.0,,-375.0,,-375.0,-374.9,-175.1,175.5,-176.5,174.9,-176.4,175.6,-175.5
1777067587.395124,0.0,,-375.0,,-375.0,-374.9,-175.1,175.5,-176.0,174.9,-176.4,175.6,-175.5
1777067587.395128,0.0,,-375.0,,-375.0,-374.9,-175.1,175.5,-176.0,174.9,-176.5,175.6,-175.5
